Position Data bat_01
 320, 1275,
 320, 1273,
 318, 1266,
 316, 1255,
 313, 1241,
 308, 1223,
 303, 1203,
 296, 1181,
 287, 1157,
 276, 1132,
 262, 1107,
 247, 1082,
 229, 1058,
 212, 1034,
 195, 1010,
 179, 986,
 165, 957,
 155, 916,
 167, 868,
 207, 829,
 263, 804,
 326, 788,
 391, 779,
 458, 776,
 524, 776,
 588, 779,
 648, 785,
 702, 793,
 749, 802,
 788, 811,
 817, 819,
 835, 826,
 841, 828,
 841, 828,
 841, 828,
 841, 828,
};

Position Data bat_02
 320, 1275,
 322, 1273,
 329, 1267,
 340, 1257,
 352, 1243,
 364, 1224,
 375, 1199,
 380, 1171,
 378, 1139,
 371, 1107,
 360, 1075,
 345, 1044,
 329, 1014,
 313, 986,
 297, 958,
 283, 932,
 271, 902,
 264, 862,
 279, 817,
 320, 784,
 374, 764,
 434, 754,
 496, 750,
 558, 751,
 620, 757,
 679, 765,
 734, 776,
 783, 789,
 825, 802,
 860, 816,
 885, 828,
 900, 837,
 905, 841,
 905, 841,
 905, 841,
 905, 841,
};

Position Data bat_03
 320, 1275,
 324, 1272,
 333, 1264,
 345, 1252,
 359, 1235,
 373, 1214,
 387, 1190,
 400, 1162,
 409, 1132,
 413, 1098,
 409, 1065,
 398, 1034,
 382, 1004,
 367, 970,
 354, 934,
 344, 895,
 340, 854,
 347, 811,
 369, 772,
 410, 747,
 459, 739,
 510, 741,
 560, 748,
 609, 760,
 655, 773,
 698, 787,
 738, 801,
 773, 816,
 803, 829,
 827, 840,
 845, 849,
 857, 855,
 861, 858,
 861, 858,
 861, 858,
 861, 858,
};

Position Data bat_04
 320, 1275,
 322, 1274,
 327, 1271,
 335, 1266,
 345, 1260,
 356, 1251,
 368, 1241,
 378, 1227,
 386, 1210,
 389, 1190,
 383, 1169,
 373, 1148,
 358, 1129,
 340, 1109,
 320, 1090,
 297, 1070,
 269, 1039,
 250, 992,
 259, 940,
 291, 895,
 335, 860,
 385, 833,
 437, 812,
 490, 798,
 543, 789,
 595, 785,
 644, 787,
 691, 792,
 733, 802,
 770, 815,
 800, 828,
 821, 840,
 829, 845,
 829, 845,
 829, 845,
 829, 845,
};

Position Data bat_05
 320, 1275,
 323, 1277,
 333, 1282,
 348, 1288,
 368, 1296,
 393, 1302,
 422, 1307,
 455, 1307,
 491, 1300,
 526, 1286,
 557, 1261,
 578, 1227,
 583, 1188,
 572, 1156,
 558, 1133,
 544, 1111,
 529, 1089,
 515, 1066,
 502, 1043,
 489, 1019,
 478, 994,
 468, 967,
 461, 938,
 457, 905,
 461, 868,
 480, 830,
 520, 801,
 578, 787,
 653, 789,
 749, 808,
 841, 838,
 882, 854,
 890, 857,
 890, 857,
 890, 857,
 890, 857,
};

Position Data bat_06
 320, 1275,
 325, 1278,
 340, 1283,
 364, 1289,
 395, 1292,
 432, 1288,
 470, 1276,
 503, 1250,
 517, 1212,
 504, 1177,
 491, 1146,
 478, 1119,
 466, 1094,
 454, 1070,
 442, 1048,
 430, 1026,
 418, 1005,
 404, 984,
 387, 959,
 366, 922,
 363, 874,
 391, 834,
 435, 809,
 483, 796,
 532, 789,
 580, 788,
 627, 791,
 670, 797,
 710, 806,
 745, 817,
 774, 829,
 795, 840,
 804, 845,
 804, 845,
 804, 845,
 804, 845,
};

Position Data bat_07
 320, 1275,
 320, 1279,
 318, 1289,
 315, 1304,
 310, 1322,
 296, 1339,
 273, 1333,
 259, 1310,
 252, 1281,
 249, 1249,
 250, 1216,
 256, 1181,
 265, 1147,
 278, 1112,
 294, 1079,
 312, 1048,
 336, 1014,
 367, 975,
 404, 937,
 446, 903,
 491, 875,
 539, 853,
 588, 837,
 637, 827,
 685, 822,
 730, 822,
 771, 825,
 809, 830,
 842, 836,
 870, 843,
 892, 849,
 907, 853,
 912, 855,
 912, 855,
 912, 855,
 912, 855,
};

Position Data bat_08
 320, 1275,
 318, 1279,
 311, 1289,
 300, 1303,
 285, 1318,
 265, 1333,
 240, 1345,
 210, 1350,
 179, 1342,
 154, 1318,
 140, 1284,
 136, 1237,
 149, 1185,
 174, 1134,
 206, 1087,
 242, 1043,
 282, 1002,
 323, 965,
 364, 933,
 406, 906,
 453, 879,
 501, 855,
 551, 836,
 600, 821,
 649, 811,
 695, 806,
 739, 805,
 779, 809,
 815, 815,
 844, 824,
 867, 832,
 882, 838,
 888, 841,
 888, 841,
 888, 841,
 888, 841,
};

Position Data bat_09
 320, 1275,
 319, 1276,
 314, 1279,
 307, 1284,
 297, 1290,
 282, 1294,
 265, 1292,
 251, 1276,
 246, 1253,
 246, 1227,
 250, 1199,
 258, 1169,
 270, 1138,
 285, 1106,
 305, 1074,
 331, 1044,
 362, 1016,
 398, 989,
 437, 965,
 479, 943,
 521, 923,
 565, 905,
 608, 889,
 650, 876,
 691, 864,
 730, 855,
 765, 847,
 797, 842,
 825, 839,
 848, 838,
 865, 840,
 875, 843,
 878, 845,
 878, 845,
 878, 845,
 878, 845,
};

Position Data bat_10
 320, 1275,
 317, 1274,
 308, 1272,
 294, 1266,
 276, 1257,
 256, 1244,
 235, 1225,
 215, 1200,
 198, 1169,
 186, 1134,
 180, 1095,
 180, 1055,
 188, 1014,
 202, 975,
 222, 939,
 246, 906,
 272, 877,
 305, 853,
 344, 834,
 388, 819,
 434, 808,
 483, 799,
 532, 794,
 581, 792,
 628, 793,
 673, 796,
 714, 803,
 750, 811,
 781, 821,
 806, 831,
 824, 840,
 835, 847,
 839, 849,
 839, 849,
 839, 849,
 839, 849,
};

Position Data bat_11
 320, 1275,
 318, 1274,
 314, 1272,
 306, 1269,
 296, 1263,
 284, 1254,
 271, 1243,
 258, 1228,
 245, 1209,
 234, 1186,
 227, 1160,
 223, 1131,
 223, 1100,
 227, 1067,
 237, 1033,
 253, 1000,
 274, 969,
 300, 938,
 332, 906,
 370, 874,
 412, 844,
 459, 819,
 510, 800,
 562, 788,
 614, 783,
 664, 785,
 710, 791,
 752, 800,
 787, 811,
 815, 821,
 837, 830,
 850, 836,
 855, 838,
 855, 838,
 855, 838,
 855, 838,
};

Position Data bat_12
 320, 1275,
 317, 1274,
 308, 1272,
 294, 1268,
 278, 1262,
 259, 1254,
 239, 1242,
 219, 1227,
 199, 1209,
 180, 1187,
 164, 1161,
 151, 1133,
 143, 1101,
 140, 1069,
 141, 1036,
 145, 1004,
 156, 962,
 174, 915,
 203, 871,
 241, 833,
 297, 798,
 368, 776,
 444, 765,
 520, 762,
 594, 765,
 664, 772,
 730, 783,
 790, 796,
 843, 811,
 887, 827,
 922, 843,
 945, 854,
 954, 859,
 954, 859,
 954, 859,
 954, 859,
};

Position Data bat_01
 320, 1545,
 320, 1542,
 319, 1535,
 317, 1524,
 315, 1508,
 311, 1490,
 306, 1469,
 300, 1445,
 291, 1420,
 281, 1394,
 267, 1368,
 252, 1342,
 235, 1316,
 218, 1291,
 202, 1266,
 187, 1241,
 173, 1210,
 162, 1165,
 163, 1108,
 181, 1046,
 216, 984,
 267, 927,
 328, 876,
 396, 835,
 469, 803,
 543, 783,
 615, 773,
 681, 774,
 739, 783,
 785, 797,
 819, 812,
 840, 823,
 847, 827,
 847, 827,
 847, 827,
 847, 827,
};

Position Data bat_02
 320, 1545,
 321, 1542,
 322, 1534,
 324, 1521,
 326, 1503,
 328, 1481,
 327, 1456,
 322, 1428,
 310, 1400,
 291, 1375,
 266, 1353,
 236, 1336,
 206, 1321,
 176, 1306,
 149, 1286,
 130, 1262,
 120, 1234,
 117, 1198,
 122, 1148,
 142, 1088,
 182, 1027,
 238, 969,
 307, 917,
 384, 873,
 467, 838,
 551, 813,
 633, 799,
 711, 795,
 779, 802,
 834, 817,
 874, 835,
 897, 851,
 905, 857,
 905, 857,
 905, 857,
 905, 857,
};

Position Data bat_03
 320, 1545,
